"Source:","C:\Users\simao\Documents\KiCad\Projects\VCOv1\VCOv1.kicad_sch"
"Date:","3/2/2023 10:13:05 AM"
"Tool:","Eeschema (6.0.11)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","88"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Func","func"
"","","C1","2.2nF","Device:C","Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm","~","",""
"","","C2","47u","Device:C_Polarized","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","~","",""
"","","C3","1u","Device:C","Capacitor_THT:C_Rect_L7.0mm_W6.0mm_P5.00mm","~","",""
"","","C4","0.1","Device:C","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~","",""
"","","C5","47u","Device:C_Polarized","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","~","",""
"","","C6","47u","Device:C_Polarized","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","~","",""
"","","C7","0.1","Device:C","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~","",""
"","","C8","0.1","Device:C","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~","",""
"","","C9","22p","Device:C","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~","",""
"","","C10","22p","Device:C","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~","",""
"","","C11","0.1","Device:C","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~","",""
"","","C12","0.1","Device:C","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~","",""
"","","C13","22p","Device:C","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~","",""
"","","C14","0.1","Device:C","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~","",""
"","","C15","0.1","Device:C","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~","",""
"","","C16","0.1","Device:C","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~","",""
"","","D1","1N4148","Diode:1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","",""
"","","D2","1N5819","Diode:1N5819","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf","",""
"","","D3","1N5819","Diode:1N5819","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf","",""
"","","D4","1N4148","Diode:1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","",""
"","","D5","1N4148","Diode:1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","",""
"","","D6","1N5819","Diode:1N5819","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf","",""
"","","J1","1V/Octave","Connector:Barrel_Jack_Switch","A:MJ-3507","~","",""
"","","J2","FM CV","Connector:Barrel_Jack_Switch","A:MJ-3507","~","",""
"","","J3","Conn_02x08_Odd_Even","Connector_Generic:Conn_02x08_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical","~","",""
"","","J4","PWM CV","Connector:Barrel_Jack_Switch","A:MJ-3507","~","",""
"","","J5","Saw","Connector:Barrel_Jack_Switch","A:MJ-3507","~","",""
"","","J6","Pulse","Connector:Barrel_Jack_Switch","A:MJ-3507","~","",""
"","","J7","Triangle","Connector:Barrel_Jack_Switch","A:MJ-3507","~","",""
"","","J8","Sine","Connector:Barrel_Jack_Switch","A:MJ-3507","~","",""
"","","Q1","BC558","Transistor_BJT:BC558","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BC556BTA-D.pdf","",""
"","","Q2","BC548","Transistor_BJT:BC548","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BC550-D.pdf","",""
"","","Q3","2N3904","Transistor_BJT:2N3904","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF","",""
"","","Q4","2N3904","Transistor_BJT:2N3904","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF","",""
"","","R1","100k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"","","R2","100k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"","","R3","33k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"","","R4","100k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"","","R5","100k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"","","R6","1M","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"","","R7","100k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"","","R8","1K5","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"","","R9","1M","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"","","R10","100k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"","","R11","10","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"","","R12","10","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"","","R13","68k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"","","R14","100k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"","","R15","14k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"","","R16","47k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"","","R17","100k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"","","R18","1k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"","","R19","100k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"","","R20","10k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"","","R21","68k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"","","R22","10k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"","","R23","10k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"","","R24","20k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"","","R25","1k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"","","R26","10k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"","","R27","20k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"","","R28","2k2","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"","","R29","1k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"","","R30","10k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"","","R31","390","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"","","R32","18k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"","","R33","10k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"","","R34","2k2","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"","","R35","13k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"","","R36","13k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"","","R37","1k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"","","R38","10","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"","","RV1","B100k","Device:R_Potentiometer","Potentiometer_THT:Potentiometer_Alps_RK09K_Single_Vertical","~","Coarse",""
"","","RV2","B100k","Device:R_Potentiometer","Potentiometer_THT:Potentiometer_Alps_RK09K_Single_Vertical","~","Fine",""
"","","RV3","B1M","Device:R_Potentiometer_Small","Potentiometer_THT:Potentiometer_Alps_RK09K_Single_Vertical","~","FM Level",""
"","","RV4","1k","Device:R_Potentiometer_Small","Potentiometer_THT:Potentiometer_Vishay_T73XW_Horizontal","~","Tune",""
"","","RV5","B100k","Device:R_Potentiometer","Potentiometer_THT:Potentiometer_Alps_RK09K_Single_Vertical","~","Pulse Width",""
"","","RV6","B250k","Device:R_Potentiometer_Small","Potentiometer_THT:Potentiometer_Alps_RK09K_Single_Vertical","~","PWM CV Level",""
"","","RV7","20k","Device:R_Potentiometer_Small","Potentiometer_THT:Potentiometer_Vishay_T73XW_Horizontal","~","A",""
"","","RV8","100k","Device:R_Potentiometer_Small","Potentiometer_THT:Potentiometer_Vishay_T73XW_Horizontal","~","W",""
"","","RV9","50k","Device:R_Potentiometer_Small","Potentiometer_THT:Potentiometer_Vishay_T73XW_Horizontal","~","","Z"
"","","TH1","10K","Device:Thermistor_NTC","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"","","TH2","10K","Device:Thermistor_NTC","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"","","TH3","10K","Device:Thermistor_NTC","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"","","TH4","10K","Device:Thermistor_NTC","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"","","U1","40106","4xxx:40106","Package_DIP:DIP-14_W7.62mm_Socket","https://assets.nexperia.com/documents/data-sheet/HEF40106B.pdf","",""
"","","U2","TL074","Amplifier_Operational:TL074","Package_DIP:DIP-14_W7.62mm_Socket","http://www.ti.com/lit/ds/symlink/tl071.pdf","",""
"","","U3","TL074","Amplifier_Operational:TL074","Package_DIP:DIP-14_W7.62mm_Socket","http://www.ti.com/lit/ds/symlink/tl071.pdf","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Func","func"
"1","1","C1","2.2nF","Device:C","Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm","~","",""
"2","3","C2, C5, C6","47u","Device:C_Polarized","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","~","",""
"3","1","C3","1u","Device:C","Capacitor_THT:C_Rect_L7.0mm_W6.0mm_P5.00mm","~","",""
"4","8","C4, C7, C8, C11, C12, C14, C15, C16","0.1","Device:C","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~","",""
"5","3","C9, C10, C13","22p","Device:C","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~","",""
"6","3","D1, D4, D5","1N4148","Diode:1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","",""
"7","3","D2, D3, D6","1N5819","Diode:1N5819","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf","",""
"8","1","J1","1V/Octave","Connector:Barrel_Jack_Switch","A:MJ-3507","~","",""
"9","1","J2","FM CV","Connector:Barrel_Jack_Switch","A:MJ-3507","~","",""
"10","1","J3","Conn_02x08_Odd_Even","Connector_Generic:Conn_02x08_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical","~","",""
"11","1","J4","PWM CV","Connector:Barrel_Jack_Switch","A:MJ-3507","~","",""
"12","1","J5","Saw","Connector:Barrel_Jack_Switch","A:MJ-3507","~","",""
"13","1","J6","Pulse","Connector:Barrel_Jack_Switch","A:MJ-3507","~","",""
"14","1","J7","Triangle","Connector:Barrel_Jack_Switch","A:MJ-3507","~","",""
"15","1","J8","Sine","Connector:Barrel_Jack_Switch","A:MJ-3507","~","",""
"16","1","Q1","BC558","Transistor_BJT:BC558","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BC556BTA-D.pdf","",""
"17","1","Q2","BC548","Transistor_BJT:BC548","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BC550-D.pdf","",""
"18","2","Q3, Q4","2N3904","Transistor_BJT:2N3904","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF","",""
"19","9","R1, R2, R4, R5, R7, R10, R14, R17, R19","100k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"20","1","R3","33k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"21","2","R6, R9","1M","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"22","1","R8","1K5","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"23","3","R11, R12, R38","10","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"24","2","R13, R21","68k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"25","1","R15","14k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"26","1","R16","47k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"27","4","R18, R25, R29, R37","1k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"28","6","R20, R22, R23, R26, R30, R33","10k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"29","2","R24, R27","20k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"30","2","R28, R34","2k2","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"31","1","R31","390","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"32","1","R32","18k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"33","2","R35, R36","13k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"34","3","RV1, RV2, RV5","B100k","Device:R_Potentiometer","Potentiometer_THT:Potentiometer_Alps_RK09K_Single_Vertical","~","Coarse",""
"35","1","RV3","B1M","Device:R_Potentiometer_Small","Potentiometer_THT:Potentiometer_Alps_RK09K_Single_Vertical","~","FM Level",""
"36","1","RV4","1k","Device:R_Potentiometer_Small","Potentiometer_THT:Potentiometer_Vishay_T73XW_Horizontal","~","Tune",""
"37","1","RV6","B250k","Device:R_Potentiometer_Small","Potentiometer_THT:Potentiometer_Alps_RK09K_Single_Vertical","~","PWM CV Level",""
"38","1","RV7","20k","Device:R_Potentiometer_Small","Potentiometer_THT:Potentiometer_Vishay_T73XW_Horizontal","~","A",""
"39","1","RV8","100k","Device:R_Potentiometer_Small","Potentiometer_THT:Potentiometer_Vishay_T73XW_Horizontal","~","W",""
"40","1","RV9","50k","Device:R_Potentiometer_Small","Potentiometer_THT:Potentiometer_Vishay_T73XW_Horizontal","~","","Z"
"41","4","TH1, TH2, TH3, TH4","10K","Device:Thermistor_NTC","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"42","1","U1","40106","4xxx:40106","Package_DIP:DIP-14_W7.62mm_Socket","https://assets.nexperia.com/documents/data-sheet/HEF40106B.pdf","",""
"43","2","U2, U3","TL074","Amplifier_Operational:TL074","Package_DIP:DIP-14_W7.62mm_Socket","http://www.ti.com/lit/ds/symlink/tl071.pdf","",""
